,nombre,renta_media_disponible,Codigo_postal
460, Los Castros Castrillón ,25.581,15006
461, Os Mallos ,19.934,15007
462, Sagrada Familia Vioño ,23.009,15008
463, Los Castros Castrillón ,29.083,15009
464, Agrán Del Orzán Ventorrillo ,19.96,15010
465, Riazor Los Rosales ,23.659,15011
466, Mesoiro ,20.451,15190
467,resto Coruña A,24.883,15
468, Vigo ,23.484,36057
469, Vigo Centro Areal Teis ,35.6,36201
470, Casco Vello ,24.427,36202
471, O Castro ,26.983,36203
472, San Xosé Obreiro Sárdoma Casablanca Calvario ,24.717,36204
473, San Paulo Casablanca Calvario Lavadores ,19.874,36205
474, Lavadores Fátima ,19.982,36206
475, Teis ,19.549,36207
476, Bouzas Coia ,23.712,36208
477, Coia ,21.439,36209
478, Coia Freixeiro ,20.926,36210
479, Travesas Pz Independencia Camelias Pi y Margall ,29.292,36211
480, Alcabre Navia ,23.546,36212
481, Comesaña Matamá ,21.48,36213
482, Sárdoma Lavadores ,19.622,36214
483, Cabral Lavadores ,19.547,36215
484, Teis ,19.28,36216
485, Beade ,20.79,36312
486, Bembrive ,21.364,36313
487, Valadares zona Parque tecnológico y logístico ,19.802,36314
488, Valadares  A Piquela  Alba  San Juan  Sobreira ,20.173,36315
489, Candeán ,19.888,36317
490, Cabral ,19.544,36318
491, Coruxo ,20.533,36330
492, Coruxo ,26.026,36331
493, Oya ,33.106,36390
494,resto Vigo,26.015,36
495, Alcalá de Henares ,23.828,28005
496, Universidad de Alcalá ,27.875,28801
497, Museo Arquelógico Regional Av. Madrid ,18.991,28802
498, Av Reyes Católicos Calle Ronda Fiscal ,20.883,28803
499, Ciudad Deportiva Municipal Del Val Av.Lope de Figueroa ,24.424,28804
500, Hospital Universitario Centro Penitenciario ,25.189,28805
501, Polígonos Industriales ,25.537,28806
502, Estación ,22.876,28807
503,resto Alcalá de Henares,20.773,288
504, Alcobendas ,48.247,28006
505, Valdelasfuentes ,27.444,28100
506, La Granja Campus Empresarial ,50.143,28108
507, La Moraleja ,175.84,28109
508,resto Alcobendas,35.862,281
509, Alcorcón ,23.589,28007
510, Centro ,19.092,28921
511, Prado de Santo Domingo  Parque Oeste  Fuente Cisneros ,24.996,28922
512, Parque Ondarreta  Urtinsa ,21.06,28923
513, Parque Lisboa  La Paz ,25.631,28924
514, San José de Valderas  Los castillos ,25.426,28925
515,resto Alcorcón,21.509,2892
516, Getafe ,24.17,28065
517, Getafe Centro San Isidro ,22.39,28901
518, Getafe Centro ,23.31,28902
519, Juan de la Cierva Universidad ,22.399,28903
520, Getafe Centro ,21.706,28904
521, La Alhóndiga ,26.742,28905
522, Los Olivos Los Ángeles ,25.281,28906
523, El Bercial ,28.537,28907
524, Perales del Río ,26.132,28909
525,resto Getafe,21.634,2890
526, Leganés ,22.147,28074
527, Zona centro ,21.157,28911
528, Universidad ,18.846,28912
529, San Nicasio ,18.804,28913
530, Arroyo Culebro Ciudad del Automóvil Vereda de los Estudiantes Polvoranca Valdepelayo ,26.731,28914
531, Zarzaquemada ,19.913,28915
532, El Carrascal  Parquesur ,24.462,28916
533, La Fortuna ,19.501,28917
534, Solagua Butarque Campo de Tiro Quinto Centenario ,26.487,28918
535, Leganés Norte Legatec Prado Overa ,23.522,28919
536,resto Leganés,20.928,2891
537, Madrid ,32.314,28079
538, Salamanca  Goya ,98.602,28001
539, Chamartín ,43.212,28002
540, Chamberí Rios Rosas ,43.235,28003
541, Justicia ,34.834,28004
542, Arganzuela ,30.707,28005
543, Castellana ,67.409,28006
544, Adelfas ,35.167,28007
545, Moncloa ,41.258,28008
